#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
50,"Senior Scientist, Antibody and Protein Engineering",Regeneron,https://www.indeed.com/viewjob?jk=f4b9be7d160e0fbb,"Tarrytown, NY, US",NY,"$109,900",N/A,N/A
51,"Senior Scientist, Antibody and Protein Engineering",Regeneron,https://www.indeed.com/viewjob?jk=346eed3dc694f39e,"Tarrytown, NY, US",NY,"$109,900",N/A,N/A
52,"Director, Animal Production - Velocigene",Regeneron,https://www.indeed.com/viewjob?jk=905365592f93595a,"Tarrytown, NY, US",NY,"$183,100",N/A,N/A
53,"Director, Animal Production - Velocigene",Regeneron,https://www.indeed.com/viewjob?jk=f38b79dc26f148a7,"Tarrytown, NY, US",NY,"$183,100",N/A,N/A
54,"Principal Scientist, Biologics Analytical R&D",Merck,https://www.indeed.com/viewjob?jk=58ebcaaf70993638,"Rahway, NJ, US",NJ,"$156,900",N/A,N/A
55,Molecular Technologist I,Weill Cornell Medicine,https://www.indeed.com/viewjob?jk=b03ebc3977ed5df7,"New York, NY, US",NY,$43,N/A,N/A
56,"Scientist, Drug Product Development",Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=11a14520314c92a5,"New Brunswick, NJ, US",NJ,"$101,800",N/A,N/A
57,Immuno-oncology Intern,Legend Biotech,https://www.indeed.com/viewjob?jk=c6ddab602a2f454f,"Piscataway, NJ, US",NJ,N/A,N/A,N/A
58,"Postdoctoral Associate, Multiple Vacancies",Rutgers University,https://www.indeed.com/viewjob?jk=1ff846327518b8b5,"New Brunswick, NJ, US",NJ,"$63,968",N/A,N/A
59,Visiting Researcher (Multiple Vacancies),Rutgers University,https://www.indeed.com/viewjob?jk=4bb47728e3963b7a,"New Brunswick, NJ, US",NJ,"$45,000",N/A,N/A
60,Associate Researcher I- Pharmacological Sciences,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=79e8ef25333c7c00,"New York, NY, US",NY,$58661,N/A,N/A
61,Senior Industrial Hygienist Apprenticeship - Brooklyn,nan,https://www.indeed.com/viewjob?jk=5c9921a974d8e8cf,"Brooklyn, NY, US",NY,N/A,N/A,N/A
