#,Title,Company,URL,Location,State,Salary
55,Research Assistant | Laboratory of Mucosal Immunology,Rockefeller University,https://www.indeed.com/viewjob?jk=b53321847daffbc6,"New York, NY, US",NY,"$50,000"
56,Sample Preparation Scientist,Eurofins,https://www.indeed.com/viewjob?jk=f755b3a102c53031,"South Brunswick Township, NJ, US",NJ,$20
57,Technician B - Celiac Disease Center,Columbia University,https://www.indeed.com/viewjob?jk=bfb7262c5167caae,"New York, NY, US",NY,"$55,112"
58,Technician B - Hematology & Oncology,Columbia University,https://www.indeed.com/viewjob?jk=7ee84690daee67e8,"New York, NY, US",NY,"$55,112"
59,"Research Assistant, Sanjana Lab (STING-req)",New York Genome Center,https://www.indeed.com/viewjob?jk=49cee59122c576a8,"New York, NY, US",NY,"$46,000"
60,"Research Assistant, Sanjana Lab (in vivo)",New York Genome Center,https://www.indeed.com/viewjob?jk=a58b0547a62dd4db,"New York, NY, US",NY,"$46,000"
61,Research Assistant | Laboratory of RNA Structural Biology and Biophysics,Rockefeller University,https://www.indeed.com/viewjob?jk=21434b362c5a667a,"New York, NY, US",NY,"$50,000"
62,Postdoctoral Fellow-MSH-32076-162,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=4dea13a8a9d8443a,"New York, NY, US",NY,"$74,692"
63,Postdoctoral Associate (Multiple Vacancies),Rutgers University,https://www.indeed.com/viewjob?jk=4949d8960c9df75d,"New Brunswick, NJ, US",NJ,"$63,968"
64,2026 Biosciences Internship,Unilever,https://www.indeed.com/viewjob?jk=34935057a5789845,"Englewood Cliffs, NJ, US",NJ,N/A
65,Fall 2026 Co-Op - Immunology Translational Early Development,Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=c89d7f2583517a1e,"Princeton, NJ, US",NJ,$29
66,Laboratory/Technical Assistant - Seasonal,Rutgers University,https://www.indeed.com/viewjob?jk=4594700ccd9ffc45,"Piscataway, NJ, US",NJ,$20
67,"Associate Scientist, Assay Development",Pfizer,https://www.indeed.com/viewjob?jk=61d96dc90d513893,"Cambridge, MA, US",MA,"$60,200"
68,Principal Scientist,Harvard University,https://www.indeed.com/viewjob?jk=ca27ea1873445f29,"Boston, MA, US",MA,N/A
