#,Title,Company,URL,Location,State,Salary
45,"Associate Scientist, Keloid & Fibrosis",Regeneron,https://www.indeed.com/viewjob?jk=d697445d7ec36ad4,"Tarrytown, NY, US",NY,"$70,300"
46,Postdoctoral Associate (Rocha Lab),New York University,https://www.indeed.com/viewjob?jk=93827ebfe9c1593c,"New York, NY, US",NY,"$62,500"
47,"Associate Scientist, Keloid & Fibrosis",Regeneron,https://www.indeed.com/viewjob?jk=4ac397875f9742f7,"Tarrytown, NY, US",NY,"$70,300"
48,Research Assistant | Laboratory of Mucosal Immunology,Rockefeller University,https://www.indeed.com/viewjob?jk=b53321847daffbc6,"New York, NY, US",NY,"$50,000"
49,Sample Preparation Scientist,Eurofins,https://www.indeed.com/viewjob?jk=f755b3a102c53031,"South Brunswick Township, NJ, US",NJ,$20
50,Technician B - Celiac Disease Center,Columbia University,https://www.indeed.com/viewjob?jk=bfb7262c5167caae,"New York, NY, US",NY,"$55,112"
51,Technician B - Hematology & Oncology,Columbia University,https://www.indeed.com/viewjob?jk=7ee84690daee67e8,"New York, NY, US",NY,"$55,112"
52,"Research Assistant, Sanjana Lab (STING-req)",New York Genome Center,https://www.indeed.com/viewjob?jk=49cee59122c576a8,"New York, NY, US",NY,"$46,000"
53,"Research Assistant, Sanjana Lab (in vivo)",New York Genome Center,https://www.indeed.com/viewjob?jk=a58b0547a62dd4db,"New York, NY, US",NY,"$46,000"
54,Research Assistant | Laboratory of RNA Structural Biology and Biophysics,Rockefeller University,https://www.indeed.com/viewjob?jk=21434b362c5a667a,"New York, NY, US",NY,"$50,000"
55,Postdoctoral Fellow-MSH-32076-162,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=4dea13a8a9d8443a,"New York, NY, US",NY,"$74,692"
56,Postdoctoral Associate (Multiple Vacancies),Rutgers University,https://www.indeed.com/viewjob?jk=4949d8960c9df75d,"New Brunswick, NJ, US",NJ,"$63,968"
57,2026 Biosciences Internship,Unilever,https://www.indeed.com/viewjob?jk=34935057a5789845,"Englewood Cliffs, NJ, US",NJ,N/A
58,Fall 2026 Co-Op - Immunology Translational Early Development,Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=c89d7f2583517a1e,"Princeton, NJ, US",NJ,$29
59,"Associate Scientist, Assay Development",Pfizer,https://www.indeed.com/viewjob?jk=61d96dc90d513893,"Cambridge, MA, US",MA,"$60,200"
60,Principal Scientist,Harvard University,https://www.indeed.com/viewjob?jk=ca27ea1873445f29,"Boston, MA, US",MA,N/A
61,"Sr Research Associate, Molecular Biology",TWIST BIOSCIENCE,https://www.indeed.com/viewjob?jk=56bfbba46c1f88fc,"Quincy, MA, US",MA,N/A
62,"Research Scientist, AI/ML Foundational Models",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=5ec9542952f08ba2,"Boston, MA, US",MA,"$111,800"
63,Technical Scientist,Cytiva,https://www.indeed.com/viewjob?jk=189ff8770aae2bc1,"Marlborough, MA, US",MA,"$110,000"
64,Research Technician,Brandeis University,https://www.indeed.com/viewjob?jk=bad75ba54b4a3392,"Waltham, MA, US",MA,"$39,600"
65,2026 Future Talent Program - Research – Chemical Biology- Co-Op,Merck,https://www.indeed.com/viewjob?jk=840ac344a4905795,"Cambridge, MA, US",MA,"$39,600"
66,"2026 Future Talent Program – Discovery Immunology – Co-op (Cambridge, MA)",Merck,https://www.indeed.com/viewjob?jk=015620fc83536dbf,"Cambridge, MA, US",MA,"$39,600"
67,Technical Associate I,Massachusetts Institute of Technology,https://www.indeed.com/viewjob?jk=623a99a150a2ef1a,"Cambridge, MA, US",MA,N/A
68,Research Fellow: Bioassay Development,Biogen,https://www.indeed.com/viewjob?jk=154b2b7b847985f5,"Cambridge, MA, US",MA,"$110,000"
69,"Principal Scientist, Analytical Development",nan,https://www.indeed.com/viewjob?jk=57060a9b11328a03,"Cambridge, MA, US",MA,$30
