#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
103,Postdoctoral Associate (Chen Lab),New York University,https://www.indeed.com/viewjob?jk=12ed9bbd4e8d2667,"New York, NY, US",NY,"$62,500",2026-01-23,N/A
104,Laboratory Associate (Chen Lab),New York University,https://www.indeed.com/viewjob?jk=1238c095efa21c6c,"New York, NY, US",NY,"$58,656",2026-01-23,N/A
105,Postdoctoral Associate / Senior Postdoctoral Associate,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=816f92c249f3786f,"Stony Brook, NY, US",NY,"$50,000",2026-01-23,2026-02-02
106,"Director, Head of Computational Design",GSK,https://www.indeed.com/viewjob?jk=7b02d1acccd84fef,"Cambridge, MA, US",MA,"$178,200",2026-01-23,N/A
107,"Director, Head of Research Data Integration & Analytics",GSK,https://www.indeed.com/viewjob?jk=42a4519f8a5f3a6e,"Cambridge, MA, US",MA,"$178,200",2026-01-23,N/A
108,Director - Sales & Business Development,Object Technology Solutions Inc,https://www.indeed.com/viewjob?jk=ca5e6ed7d6d7dac5,"New York, NY, US",NY,"$120,000",2026-01-23,N/A
109,Research Pipeline Project Director,GSK,https://www.indeed.com/viewjob?jk=f749d5410ce35b76,"Collegeville, PA, US",PA,N/A,2026-01-22,N/A
110,Post-Doc Shumytsky Lab,Rutgers University,https://www.indeed.com/viewjob?jk=4c0c1a6303346e74,"Piscataway, NJ, US",NJ,"$63,968",2026-01-22,N/A
111,Research Support Specialist,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=8df46e011554cc86,"Stony Brook, NY, US",NY,"$38,000",2026-01-22,2026-02-05
112,"Senior Medical Director, Clinical Development, Advanced Pipeline Unit (APU), Hepatology",GSK,https://www.indeed.com/viewjob?jk=2cc69439306dae1f,"Waltham, MA, US",MA,"$284,625",2026-01-22,N/A
113,"Senior Medical Director, Clinical Development, Advanced Pipeline Unit (APU), Hepatology",GSK,https://www.indeed.com/viewjob?jk=ac3024226516813b,"Collegeville, PA, US",PA,"$284,625",2026-01-22,N/A
114,Part Time Teaching - Summer 2026,Rutgers University,https://www.indeed.com/viewjob?jk=cb469520a25b428a,"Piscataway, NJ, US",NJ,"$2,777",2026-01-22,N/A
115,Calibration Technician I,Getinge,https://www.indeed.com/viewjob?jk=a6b0903310f4d838,"Wayne, NJ, US",NJ,$32,2026-01-22,N/A
116,Sr. Service Technician,Getinge,https://www.indeed.com/viewjob?jk=04e4007bf84f7c80,"Wayne, NJ, US",NJ,$36,2026-01-22,N/A
117,Clinical Laboratory Technologist - Microbiology Lab,Stony Brook University Medical Center,https://www.indeed.com/viewjob?jk=add29acc894d67e8,"Stony Brook, NY, US",NY,"$89,142",2026-01-22,N/A
118,Clinical Laboratory Technologist - Core Lab - Per Diem,Stony Brook University Medical Center,https://www.indeed.com/viewjob?jk=8b755961c70e29eb,"Stony Brook, NY, US",NY,$68,2026-01-22,N/A
119,Clinical Study Manager,Daiichi Sankyo,https://www.indeed.com/viewjob?jk=0eaae738d010a318,"Basking Ridge, NJ, US",NJ,"$133,600",2026-01-22,N/A
120,Study Delivery Lead (SDL),Daiichi Sankyo,https://www.indeed.com/viewjob?jk=2353c6b573a11652,"Basking Ridge, NJ, US",NJ,"$168,000",2026-01-22,N/A
121,Events Manager,Harvard University,https://www.indeed.com/viewjob?jk=2619e5e495913337,"Boston, MA, US",MA,N/A,2026-01-22,N/A
122,Global Marketing Director - Respiratory,GSK,https://www.indeed.com/viewjob?jk=e7d803d631a4d353,"Philadelphia, PA, US",PA,N/A,2026-01-22,N/A
123,2026 Summer Intern - High Throughput Automation Technologies,Genentech,https://www.indeed.com/viewjob?jk=9e966a615dea41dc,"Philadelphia, PA, US",PA,$45,2026-01-22,N/A
124,Curriculum Developer/Designer (Part-Time) - 2026,Rutgers University,https://www.indeed.com/viewjob?jk=909440b445a1dcea,"Piscataway, NJ, US",NJ,$500,2026-01-21,N/A
125,"Manufacturing Assembler I, Cardiac Assist - Defined Term",Getinge,https://www.indeed.com/viewjob?jk=c050dfec3f20be77,"Wayne, NJ, US",NJ,$18,2026-01-21,N/A
126,Global Head of Project Delivery Operations,サイネオス・ヘルス,https://www.indeed.com/viewjob?jk=9fa60edd8ed7905a,"New York, NY, US",NY,"$204,600",2026-01-21,N/A
127,"Senior Manager, Labelling Strategy and Development",GSK,https://www.indeed.com/viewjob?jk=0c765ed05761fe28,"Collegeville, PA, US",PA,N/A,2026-01-21,N/A
128,"Senior Manager, Scientific Affairs",West Pharmaceutical Services,https://www.indeed.com/viewjob?jk=b568ffa4933f6abc,"Exton, PA, US",PA,N/A,2026-01-21,N/A
129,Production Grinder,ATS Automation Tooling Systems Inc.,https://www.indeed.com/viewjob?jk=031553cc7716dc18,"Vineland, NJ, US",NJ,$2,2026-01-21,N/A
130,Principal Scientist (Renal Disease),GSK,https://www.indeed.com/viewjob?jk=64b583bec839b0d2,"Collegeville, PA, US",PA,N/A,2026-01-21,N/A
131,Senior Scientist I Exton,A-TEK Inc,https://www.indeed.com/viewjob?jk=04d7ded6a6c8324b,"Exton, PA, US",PA,N/A,2026-01-20,N/A
132,"Co-op, Computational Biology",Biogen,https://www.indeed.com/viewjob?jk=ae20d06083610587,"Cambridge, MA, US",MA,$29,2026-01-20,N/A
133,"Product Assembler I - 2nd shift - Defined Term, Cardiac Surgery, Wayne, NJ",Getinge,https://www.indeed.com/viewjob?jk=33ecf125d3564f44,"Wayne, NJ, US",NJ,$18,2026-01-20,N/A
134,"Co-op, Global Trade Compliance",Biogen,https://www.indeed.com/viewjob?jk=e3a6513aae3eee2b,"Cambridge, MA, US",MA,$29,2026-01-20,N/A
